context,p,decision
16,3,"[0.015240053114806924, 0.04866628129922072]"
17,0,"[np.float64(-0.11673067852123076), np.float64(-0.017332574490685093)]"
17,1,"[-0.06975486036454467, -0.026136447581389305]"
17,2,"[-0.098270035010141, -0.017283049271865608]"
17,3,"[np.float64(-0.1099952157365473), np.float64(-0.016973685154525103)]"
18,0,"[np.float64(0.25796861318064146), np.float64(0.5928797484828927)]"
18,1,"[0.29667770259441995, 0.2811027957040691]"
18,2,"[0.2747169767170094, 0.390278050520519]"
18,3,"[np.float64(0.2663884617878943), np.float64(0.5231311313453991)]"
19,0,"[np.float64(0.4638748716619989), np.float64(0.18925747731354825)]"
19,1,"[0.1726176967134516, 0.04548787820764398]"
19,2,"[0.2838647871617622, 0.1191401957000099]"
19,3,"[np.float64(0.3834426355691066), np.float64(0.1578052034981495)]"
20,0,"[np.float64(0.02953268020356778), np.float64(-0.102895181743306)]"
20,1,"[-0.0789480634477735, -0.042148082275187966]"
20,2,"[-0.04016742767974914, -0.05431269107592848]"
20,3,"[np.float64(-0.015884870133221), np.float64(-0.06758454880928443)]"
21,0,"[np.float64(0.09308114015211973), np.float64(0.062376217413276064)]"
21,1,"[-0.07498000670444747, 0.03082741802055411]"
21,2,"[-0.014489675782410373, 0.041826206964005797]"
21,3,"[-0.03511559839628815, 0.03615333331834104]"
22,0,"[np.float64(-0.2547222761673957), np.float64(0.247295650943385)]"
22,1,"[-0.23139097588518975, 0.17397612275842592]"
22,2,"[-0.24372250424284192, 0.21288928586350941]"
22,3,"[-0.24232694801057503, 0.19319206710122067]"
23,0,"[np.float64(0.28133473837358014), np.float64(0.14420826243250015)]"
23,1,"[0.14355698105886738, 0.17793214288238612]"
23,2,"[0.22956603229304862, 0.15962680773387605]"
23,3,"[np.float64(0.27751813832753286), np.float64(0.1461959650901382)]"
24,0,"[np.float64(-0.23207281109564104), np.float64(-0.010854890975566286)]"
24,1,"[-0.2004581912744608, -0.006133166781955898]"
24,2,"[-0.238746581783408, -0.00628027061717111]"
24,3,"[-0.23713209211882064, -0.005624834232962131]"
25,0,"[np.float64(0.06204434537934268), np.float64(0.016694340104100425)]"
25,1,"[-0.0075703217121526195, -0.01842634148538376]"
25,2,"[-0.039118862370094654, 0.018579814359641386]"
25,3,"[np.float64(0.03202026693779259), np.float64(0.0014261867618288182)]"
26,0,"[np.float64(0.18356612279755027), np.float64(0.06733849777233948)]"
26,1,"[0.03548283776022619, -0.0016784336951318618]"
26,2,"[np.float64(0.14366195719545838), np.float64(0.04936428500082783)]"
26,3,"[np.float64(0.16083510365102233), np.float64(0.05794680172818522)]"
27,0,"[np.float64(-0.2568825239267451), np.float64(-0.009099325962346985)]"
27,1,"[0.13262621107765127, -0.036250594557423854]"
27,2,"[np.float64(-0.11648510842674892), np.float64(0.0102580664092492)]"
27,3,"[np.float64(-0.22105621495306182), np.float64(0.0009769536938115074)]"
28,0,"[np.float64(0.029569607502435702), np.float64(0.17366668987826595)]"
